"UF";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"RO";-;1;2;1;1;1;-;-;-;-;-;-;1;2;-;9
"AM";1;-;1;1;-;1;-;1;-;-;-;1;-;-;2;8
"RR";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"PA";-;-;2;-;-;2;1;1;1;-;1;1;1;1;1;12
"TO";1;-;1;3;-;-;-;-;-;-;3;1;2;2;-;13
"MA";-;-;-;-;-;-;-;1;-;1;1;1;3;2;1;10
"PI";-;1;1;1;-;-;-;1;1;1;1;-;1;2;1;11
"CE";1;1;-;2;3;2;6;4;-;3;2;4;1;1;2;32
"RN";-;-;-;-;1;-;1;-;3;-;1;2;1;-;-;9
"PB";-;-;1;-;-;1;1;1;2;1;-;-;1;-;-;8
"PE";4;2;2;3;4;2;3;-;3;3;2;3;8;8;5;52
"AL";-;1;1;-;-;1;-;1;-;-;-;-;-;1;1;6
"SE";-;1;1;1;1;1;-;-;-;-;-;-;-;-;1;6
"BA";-;4;-;1;-;3;3;4;3;9;3;6;3;3;6;48
"MG";2;1;3;6;7;7;6;5;4;3;4;8;2;10;14;82
"ES";2;2;2;1;1;3;4;3;1;2;7;1;4;3;2;38
"RJ";1;5;2;3;4;4;3;4;1;3;4;3;3;2;8;50
"SP";5;10;3;11;5;8;8;13;7;9;9;13;13;12;19;145
"PR";4;2;5;7;3;1;5;3;4;3;2;7;9;12;5;72
"SC";1;2;2;-;2;4;3;4;5;4;5;4;-;3;2;41
"RS";4;4;1;4;10;3;3;5;8;7;7;7;10;3;16;92
"MS";1;-;-;1;2;2;-;-;1;-;2;2;1;3;-;15
"MT";1;1;1;1;2;-;1;1;1;-;4;3;2;2;4;24
"GO";-;1;-;1;1;3;2;3;1;3;4;6;8;9;-;42
"DF";-;-;-;-;-;1;-;-;-;1;-;-;1;1;1;5
"Total";28;39;31;48;47;50;50;55;46;53;62;73;75;84;91;832
