UF;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
"RO";1;1;1;2;3;2;2;1;-;1;3;-;17
"AC";-;-;2;1;1;1;-;3;3;-;-;2;13
"AM";3;4;-;1;1;1;-;2;1;1;2;1;17
"RR";-;-;-;-;-;-;-;-;-;1;-;-;1
"PA";2;1;3;1;3;1;2;-;-;1;-;-;14
"AP";2;-;1;-;1;1;1;1;-;-;-;-;7
"TO";-;1;1;-;-;-;1;-;-;-;-;1;4
"MA";-;1;5;1;1;1;2;5;1;1;1;1;20
"PI";2;1;4;-;1;2;1;2;-;1;-;-;14
"CE";3;4;4;2;3;1;3;-;1;2;3;4;30
"RN";1;-;2;-;-;3;-;-;3;3;-;-;12
"PB";4;1;3;2;-;1;-;-;1;4;1;1;18
"PE";1;1;6;3;5;2;4;3;1;-;1;2;29
"AL";1;-;1;-;2;-;2;2;-;1;-;-;9
"SE";-;1;3;5;1;2;-;1;-;1;-;3;17
"BA";2;1;4;1;2;3;2;3;-;3;2;2;25
"MG";2;5;5;4;2;7;2;9;6;2;5;11;60
"ES";1;2;1;-;2;5;-;1;1;-;-;1;14
"RJ";3;3;4;2;2;6;-;5;3;2;-;-;30
"SP";1;7;6;5;3;5;3;6;10;12;3;6;67
"PR";-;-;4;2;2;2;6;1;-;2;2;3;24
"SC";1;1;1;-;-;2;3;1;2;-;2;-;13
"RS";-;1;1;1;-;1;3;-;-;1;-;1;9
"MS";1;-;-;-;-;-;2;1;2;-;-;-;6
"MT";1;-;3;2;-;3;2;1;1;2;1;1;17
"GO";3;2;4;1;-;-;2;1;2;-;1;-;16
"DF";2;-;-;-;-;-;-;1;1;-;1;1;6
"Total";37;38;69;36;35;52;43;50;39;41;28;41;509
