"UF";"2005";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"RO";-;-;18;20;9;17;18;17;11;5;6;2;11;4;5;-;143
"AC";-;1;11;5;5;13;6;6;6;3;3;4;-;3;-;-;66
"AM";-;-;15;16;11;17;13;17;11;20;20;29;21;25;17;2;234
"RR";-;-;4;2;3;1;-;-;-;-;1;1;1;-;2;-;15
"PA";-;3;21;11;10;14;12;16;13;11;15;16;15;14;3;1;175
"AP";-;-;7;7;3;7;5;2;2;3;5;2;2;-;-;1;46
"TO";-;-;9;7;2;4;-;-;3;9;2;6;6;4;2;-;54
"MA";-;-;17;14;17;20;23;23;18;22;19;23;33;31;7;-;267
"PI";-;-;18;27;12;14;13;11;17;11;14;15;9;15;4;-;180
"CE";-;-;28;24;20;30;18;11;8;4;2;13;20;15;1;-;194
"RN";-;-;11;9;8;12;16;8;9;12;10;15;16;15;11;-;152
"PB";-;-;11;22;11;18;21;21;21;18;8;13;18;21;10;-;213
"PE";-;-;30;22;23;29;31;21;60;62;65;59;64;52;25;3;546
"AL";-;-;11;12;-;9;12;7;9;13;8;4;5;10;7;1;108
"SE";-;1;10;13;12;17;14;23;11;9;20;24;10;11;9;-;184
"BA";-;-;57;26;6;25;35;32;41;35;30;24;27;32;17;2;389
"MG";-;-;61;57;53;60;44;24;27;40;53;34;36;43;31;4;567
"ES";-;-;10;12;5;14;9;6;3;4;3;3;5;5;-;-;79
"RJ";-;2;2;6;15;30;26;17;31;21;35;14;35;15;8;1;258
"SP";-;2;99;63;47;67;90;68;86;76;63;83;76;72;34;2;928
"PR";-;1;27;27;23;24;11;19;35;41;34;36;29;26;16;1;350
"SC";-;1;10;10;9;13;17;14;7;3;18;16;11;13;7;1;150
"RS";-;1;26;17;3;9;29;25;23;26;36;22;28;35;9;1;290
"MS";-;-;9;7;7;6;7;7;2;5;3;7;5;3;3;-;71
"MT";-;1;7;6;11;17;7;5;3;4;4;12;10;1;4;1;93
"GO";1;-;13;13;18;15;17;13;12;10;12;4;13;9;4;-;154
"DF";-;1;10;9;10;6;20;17;10;8;5;11;14;10;10;-;141
"Total";1;14;552;464;353;508;514;430;479;475;494;492;520;484;246;21;6047
