Ano;"População residente x 1000";"População economicamente ativa (PEA) x 1000";"Pessoas Ocupadas x 1000";"Produto interno bruto (PIB) em milhões R$ correntes";"Produto interno bruto (PIB) em milhões R$ de 2021";"Produto interno bruto (PIB) em milhões Em dólares correntes como paridade de poder de compra (PPC)";"Fator de conversão para paridade do poder de compra (PPC)"
2000;173448.0;84886.0;76102.0;1199092.10;5698663.70;1581938.90;0.7579888539
2001;175885.0;84886.0;76102.0;1315755.50;5777869.20;1640061.90;0.8022596249
2002;178276.0;87750.0;78895.0;1488787.30;5954294.20;1716482.00;0.867348032
2003;180619.0;89485.0;79986.0;1717950.40;6022222.50;1770327.00;0.970414143
2004;182911.0;93564.0;84443.0;1957751.20;6369100.40;1922557.30;1.018305755
2005;185151.0;96682.0;86863.0;2170584.50;6573047.40;2046338.70;1.060716152
2006;187335.0;97860.0;88762.0;2409449.90;6833470.80;2193057.50;1.09867155
2007;189463.0;98899.0;89928.0;2720262.90;7248253.70;2389038.70;1.138643293
2008;191532.0;100586.0;92402.0;3109803.10;7617493.90;2558895.40;1.215291223
2009;193544.0;102281.0;92686.0;3333039.40;7607910.20;2572056.70;1.295865426
2010;194891.0;93500.0;92686.0;3885847.00;8180650.80;2798924.70;1.388335654
2011;196604.0;101586.0;93493.0;4376382.00;8505784.50;2970630.80;1.473216415
2012;198315.0;102463.0;94713.0;4814760.00;8669195.60;2998534.40;1.605704427
2013;200004.0;103401.0;94713.0;5331619.00;8929689.50;3133893.60;1.701276302
2014;201718.0;106824.0;94713.0;5778953.00;8974691.20;3187155.10;1.81320107
2015;203476.0;105519.0;94713.0;5995787.00;8656469.90;3014754.80;1.988814116
2016;205157.0;105519.0;94713.0;6269328.00;8372891.10;2939094.20;2.133081675
2017;206805.0;105519.0;94713.0;6585479.00;8483653.50;3018706.00;2.18155694
2018;208495.0;105519.0;94713.0;7004141.00;8634973.60;3145953.20;2.226397081
2019;210147.0;105519.0;94713.0;7389131.00;8740387.50;3241317.40;2.279669064
2020;211756.0;105519.0;94713.0;7609597.00;8453986.10;3213097.70;2.368305484
2021;213318.0;105519.0;94713.0;8679489.60;8679489.60;3435882.20;2.526131337
